Received applications,  RS Additions,  RS Alterations + Int Alt,  RS Demolitions,  RS Move,  RS New,  RS Fire Repair,  RS Other,  RS subtotal,  CO Addition,  CO Alteration,  CO Demolition,  CO Move,  CO New,  CO Fire Repair,  CO Other,  CO subtotal,  MG Addition,  MG Alteration,  MG Demolition,  MG Move,  MG New,  MG Fire Repair,  MG Other,  MG subtotal,  Site Development-CO,  Site Development-RS,  Zoning Permits-CO,  Zoning Permits-RS,  Manufactured Dw,  Facility Permits-BLD,  Total Other Apps,  Total Applications,,,,,,
Month of applications,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,15-Jul,,,,,,
Total Nunmber of applications,108,265,62,,98,1,,534,26,149,11,,45,1,,232,,,,,,,, - ,,2,5,7,1,101,116,882,,,,,,
Valuation ,"$4,870,807 ","5,499,531","234,724",,"17,528,945","18,000",,"$28,152,007 ","$3,841,289 ","12,586,358","424,000",,"53,097,641","115,000",,"$70,064,288 ",,,,,,,, - ,,"99,650","1,833,500","12,750","7,000","35,341,667","$37,294,567 ","$135,510,862 ",,,,,,
Month of applications,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,15-Aug,,,,,,
No.,77,250,43,1,99,3,,473,24,139,12,,31,,,206,,,,,,,, - ,2,3,1,14,1,75,96,775,,,,,,
Valuation ,"$4,564,469 ","4,255,961","148,000","6,759,000","19,188,395","109,000",,"$35,024,825 ","$7,469,890 ","9,533,403","232,549",,"83,456,895",,,"$100,692,737 ",,,,,,,, - ,"$70,000 ","55,250","1,500","39,727","64,000","15,549,293","$15,779,770 ","$151,497,332 ",,,,,,
Month of applications,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,15-Sep,,,,,,
No.,83,243,66,1,113,3,,509,20,108,11,,37,1,,177,,,,,,,, - ,2,4,4,14,,88,112,798,,,,,,
Valuation ,"$4,768,208 ","4,591,564","165,500","25,000","19,425,485","14,850",,"$28,990,607 ","$5,744,394 ","30,553,681","445,009",,"99,520,900","3,000",,"$136,266,984 ",,,,,,,, - ,"$32,543 ","306,439","16,650","51,035",,"18,156,851","$18,563,518 ","$183,821,109 ",,,,,,
Month of applications,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,15-Oct,,,,,,
No.,72,313,68,,110,2,,565,12,148,3,,24,,,187,,,,,,,, - ,,6,1,11,,96,114,866,,,,,,
Valuation ,"$4,443,051 ","5,816,845","299,201",,"19,070,323","72,000",,"$29,701,420 ","$17,067,537 ","12,142,271","145,000",,"30,536,490",,,"$59,891,298 ",,,,,,,, - ,,"68,700","20,000","25,248",,"17,846,793","$17,960,741 ","$107,553,459 ",,,,,,
Month of applications,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,15-Nov,,,,,,
No.,57,269,42,,109,2,,479,11,120,5,,15,,,151,,,,,,,, - ,1,,5,12,,75,93,723,,,,,,
