call_id,call_start_dt,answer_wait,talk_time,group_name,systemSource,cell
4306531,5/31/2018 23:58,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306528,5/31/2018 23:57,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306519,5/31/2018 23:49,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306483,5/31/2018 23:23,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306482,5/31/2018 23:19,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306463,5/31/2018 23:05,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306439,5/31/2018 22:53,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306437,5/31/2018 22:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306436,5/31/2018 22:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306420,5/31/2018 22:43,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306412,5/31/2018 22:36,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306390,5/31/2018 22:28,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306356,5/31/2018 22:14,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306350,5/31/2018 22:10,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306345,5/31/2018 22:05,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306339,5/31/2018 22:01,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306333,5/31/2018 21:58,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306316,5/31/2018 21:51,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306315,5/31/2018 21:51,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306298,5/31/2018 21:46,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306291,5/31/2018 21:44,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306288,5/31/2018 21:44,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306284,5/31/2018 21:42,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306265,5/31/2018 21:35,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306263,5/31/2018 21:35,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306258,5/31/2018 21:32,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306247,5/31/2018 21:28,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306234,5/31/2018 21:25,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306232,5/31/2018 21:24,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306214,5/31/2018 21:16,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306209,5/31/2018 21:14,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306197,5/31/2018 21:07,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306178,5/31/2018 21:00,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306174,5/31/2018 20:59,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306159,5/31/2018 20:49,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306132,5/31/2018 20:38,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306127,5/31/2018 20:37,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306107,5/31/2018 20:30,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306098,5/31/2018 20:29,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306082,5/31/2018 20:25,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306079,5/31/2018 20:24,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306076,5/31/2018 20:23,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306048,5/31/2018 20:13,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4306037,5/31/2018 20:10,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305977,5/31/2018 19:56,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305968,5/31/2018 19:55,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305964,5/31/2018 19:55,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305959,5/31/2018 19:53,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305954,5/31/2018 19:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305949,5/31/2018 19:50,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305945,5/31/2018 19:50,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305936,5/31/2018 19:47,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305933,5/31/2018 19:46,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
