Month,Structural,,Mechanical,,Electrical,Plumbing,Fire Alarms,Sprinklers,Haz Mat,Fixed Extin,Total
,No.,Valuation,No.,Valuation,No.,No.,No.,No.,No.,Systems,No.
July-11,58,11194655,33,2072947,102,42,21,29,0,2,287
August-11,85,11225971,30,1754720,123,44,20,40,0,1,343
September-11,71,18484260,36,3714562,124,52,32,28,0,0,343
October-11,72,10068554,34,1463215,105,38,22,28,0,2,301
November-11,85,9306250,45,1992922,119,23,25,33,0,3,333
December-11,68,8185314,39,731533,96,22,26,25,0,3,279
January-12,67,10508152,35,907075,149,40,18,19,0,0,328
February-12,69,5977037,36,1631657,104,37,24,36,0,1,307
March-12,84,33269787,38,10788946,120,40,16,36,0,0,334
April-12,69,22297340,19,1822401,102,38,32,17,0,0,277
May-12,76,21249748,54,4246957,122,29,20,28,0,0,329
June-12,112,13735062,55,3224519,159,58,25,39,0,0,448
July-12,82,12936071,38,3244419,108,35,20,38,0,1,322
August-12,71,35041864,48,1741193,139,31,26,27,0,2,344
September-12,68,6071544,28,2624345,121,28,26,22,0,1,294
October-12,89,73664908,58,4294419,164,44,28,41,0,1,425
November-12,91,19293105,46,1976577,117,36,24,33,0,1,348
December-12,81,21020024,30,1680788,92,34,24,22,0,0,283
January-13,92,12567316,53,2527332,140,36,30,31,0,1,383
February-13,70,6975291,35,1193616,153,36,19,22,0,1,336
March-13,87,11787116,29,2384468,154,32,22,30,0,0,354
April-13,107,24237014,62,2969409,170,75,18,44,0,1,477
May-13,78,31222542,49,3261488,179,51,40,55,0,0,452
June-13,99,10109535,39,1123817,133,30,23,20,0,2,346
July-13,81,23659470,54,5684116,117,44,22,32,0,0,350
August-13,101,8414916,40,1922207,169,47,47,47,0,2,453
September-13,75,9115798,40,1847331,156,43,29,36,0,1,380
October-13,83,16840552,49,2507154,162,46,28,54,1,1,424
November-13,70,16392062,38,1657314,110,28,26,27,0,2,301
December-13,88,22738865,39,3929120,79,36,31,31,0,4,308
January-14,62,9230178,25,1469295,168,34,25,41,0,1,356
February-14,60,12693558,35,4717981,110,49,33,25,0,4,316
March-14,82,21120520,43,5282592,142,49,21,31,0,1,369
April-14,74,10880250,36,2381302,138,46,33,36,0,1,364
May-14,88,18038276,45,1886597,146,29,56,39,0,2,405
June-14,83,24570064,40,2063834,125,41,22,41,0,1,353
July-14,94,20841801,44,1431550,155,48,35,46,0,1,423
August-14,71,8019440,33,1450523,124,55,33,34,0,0,350
September-14,90,30112411,29,5059855,133,61,23,31,0,0,367
October-14,105,14567813,42,2024504,157,39,26,35,0,0,404
November-14,60,18079168,33,6109424,107,34,29,33,0,1,297
December-14,83,23379483,49,2752242,137,46,31,36,0,2,384
January-15,56,9440043,33,988527,154,28,24,40,0,1,336
February-15,83,39086762,32,2741596,111,47,30,34,0,1,338
March-15,73,16566507,33,2882358,129,35,22,21,0,3,316
April-15,92,13200501,36,4896099,135,35,26,43,0,3,370
May-15,88,42475756,44,7048982,146,42,30,29,0,0,379
June-15,95,34540585,53,4230169,157,57,25,38,0,0,425
July-15,82,13288016,43,8272043,119,53,44,52,0,3,396
August-15,93,14621047,33,1579505,145,45,20,37,0,1,374
September-15,79,31685981,45,2142101,124,43,29,26,0,1,347
October-15,96,17846793,48,3845592,139,66,31,44,0,2,426
November-15,79,19219909,39,1334566,113,48,31,43,0,2,355
December-15,84,22151422,27,2249829,108,36,33,39,0,5,332
January-16,67,24374262,30,2275097,139,34,31,42,0,0,343
February-16,92,29396152,45,3415335,152,37,28,38,0,3,395
March-16,87,30328670,55,4127826,172,54,28,45,0,4,445
April-16,90,15267876,33,2120530,111,50,57,33,0,2,376
May-16,117,27352159,50,5299931,137,37,32,48,0,3,424
June-16,113,26005754,56,1925082,137,55,30,39,0,2,432
July-16,94,23257232,52,5503675,120,68,37,28,0,1,400
August-16,92,36469243,44,8906938,146,48,35,38,0,1,404
September-16,96,20782839,52,2216010,167,31,62,32,0,1,441
October-16,89,22234831,50,3906275,118,39,26,44,0,1,367
November-16,63,10030758,51,3055615,97,26,37,31,0,4,309
December-16,76,7758062,27,860183,115,28,21,25,1,3,296
January-17,76,12396664,39,1346018,125,38,22,23,0,1,324
February-17,79,15888517,41,3508377,151,39,37,26,0,0,373
March-17,75,14590857,47,1717987,159,33,33,34,0,1,382
April-17,62,16845697,39,1843984,107,18,29,35,0,2,292
May-17,98,23487412,44,4606084.19,122,44,22,27,0,1,358
June-17,80,17030087,40,4434882,132,50,48,48,0,1,399
