Permits ,Jul-15,,Aug-15,,Sep-15,,Oct-15,,Nov-15,,Dec-15,,Jan-16,,Feb-16,,Mar-16,,Apr-16,,May-16,,Jun-16,,Jul-16,,Aug-16,,Sep-16,,Oct-16,,Nov-16,,Dec-16,,Jan-17,,Feb-17,,Mar-17,,Apr-17,,May-17,,Jun-17,
Issued,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  , No. ,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  , No. ,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  ,No.,Valuation  
RESIDENTIAL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RS Additions, 110 ,"$6,705,543 ", 75 ,"$3,735,660 ", 78 ,"$4,504,824 ", 86 ,"$4,262,504 ", 45 ,"$2,136,935 ", 53 ,"$3,412,331 ", 58 ,"$3,476,448 ", 55 ,"$2,782,868 ", 75 ,"$4,864,349 ", 67 ,"$3,839,197 ", 75 ,"$3,961,548 ", 76 ,"$4,519,774 ", 76 ,"$5,070,828 ", 102 ,"$5,841,449 ", 54 ,"$3,013,019 ", 57 ,"$3,208,456 ", 55 ,"$3,097,028 ", 45 ,"$1,850,293 ", 43 ,"$2,504,600 ", 60 ,"$4,457,833 ", 83 ,"$4,889,832 ", 63 ,"$3,594,748 ", 75 ,"$5,577,911 ", 86 ,"$4,259,257 "
  RS Alterations + Int Alt, 276 ," 6,630,726 ", 252 ," 4,518,884 ", 240 ," 4,381,788 ", 300 ," 4,892,707 ", 277 ," 4,972,135 ", 229 ," 3,711,330 ", 255 ," 4,322,139 ", 320 ," 6,004,112 ", 341 ," 7,621,645 ", 363 ," 7,853,805 ", 323 ," 7,601,272 ", 362 ," 6,504,220 ", 342 ," 7,345,136 ", 366 ," 6,272,877 ", 309 ," 7,088,737 ", 313 ," 5,293,725 ", 266 ," 4,368,661 ", 280 ," 6,010,811 ", 267 ," 5,745,328 ", 313 ," 6,154,272 ", 367 ," 8,243,065 ", 296 ," 6,432,163 ", 388 ," 9,966,898 ", 367 ," 8,607,099 "
  RS Demolitions, 60 ," 259,074 ", 57 ," 219,700 ", 46 ," 116,500 ", 55 ," 170,501 ", 40 ," 121,900 ", 48 ," 227,650 ", 70 ," 216,440 ", 56 ," 228,550 ", 54 ," 172,956 ", 64 ," 214,050 ", 66 ," 192,354 ", 60 ," 230,250 ", 56 ," 195,070 ", 87 ," 341,400 ", 58 ," 188,150 ", 52 ," 189,500 ", 50 ," 209,800 ", 51 ," 191,070 ", 43 ," 147,400 ", 47 ," 146,000 ", 48 ," 231,400 ", 51 ," 205,179 ", 60 ," 188,550 ", 53 ," 186,450 "
  RS Move, 1 ," 125,000 ", 1 ," 6,759,000 ",,, 1 ," 25,000 ",,,,,,, 2 ," 200,000 ",,,,,,,,,,,,,,,,,,, 1 ," 10,000 ",,,,,,, 1 ," 7,500 ",,,,
  RS New, 90 ," 14,903,692 ", 88 ," 17,449,564 ", 130 ," 21,547,155 ", 116 ," 22,054,920 ", 83 ," 14,963,987 ", 70 ," 12,022,350 ", 64 ," 12,218,994 ", 105 ," 16,676,699 ", 121 ," 20,237,838 ", 135 ," 23,560,439 ", 108 ," 19,728,553 ", 187 ," 37,895,402 ", 104 ," 16,603,469 ", 159 ," 30,847,852 ", 105 ," 19,873,627 ", 132 ," 21,092,157 ", 92 ," 15,727,083 ", 77 ," 14,227,147 ", 89 ," 16,926,989 ", 76 ," 12,166,577 ", 126 ," 23,352,709 ", 107 ," 18,313,651 ", 102 ," 16,338,773 ", 122 ," 24,747,464 "
  RS Fire Repair, 2 ," 143,000 ", 2 ," 107,500 ", 4 ," 16,350 ", 2 ," 72,000 ", 2 ," 137,500 ",,,,, 1 ," 1,200 ", 2 ," 21,000 ", 1 , 200 , 1 ," 17,750 ", 1 ," 4,809 ", 1 ," 17,750 ", 1 , 500 , 2 ," 29,150 ", 2 ," 26,250 ", 1 ," 8,500 ",,,,, 3 ," 58,856 ",,, 1 ," 112,000 ",,, 1 ," 100,000 "
  RS Other,,,,,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,
  RS subtotal, 539 ,"$28,767,035 ", 475 ,"$32,790,308 ", 498 ,"$30,566,617 ", 560 ,"$31,477,632 ", 447 ,"$22,332,457 ", 400 ,"$19,373,661 ", 447 ,"$20,234,021 ", 539 ,"$25,893,429 ", 593 ,"$32,917,788 ", 630 ,"$35,467,691 ", 573 ,"$31,501,477 ", 686 ,"$49,154,455 ", 579 ,"$29,232,253 ", 715 ,"$43,304,078 ", 528 ,"$30,192,683 ", 556 ,"$29,810,088 ", 464 ,"$23,411,072 ", 454 ,"$22,289,321 ", 442 ,"$25,324,317 ", 499 ,"$22,983,538 ", 624 ,"$36,717,006 ", 519 ,"$28,665,241 ", 625 ,"$32,072,132 ", 629 ,"$37,900,270 "
