call_id,call_start_dt,answer_wait,talk_time,group_name,systemSource,cell
4203319,4/30/2018 23:57,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203301,4/30/2018 23:42,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203298,4/30/2018 23:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203296,4/30/2018 23:38,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203288,4/30/2018 23:33,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203282,4/30/2018 23:26,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203253,4/30/2018 23:09,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203250,4/30/2018 23:07,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203245,4/30/2018 23:05,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203224,4/30/2018 22:58,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203215,4/30/2018 22:54,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203203,4/30/2018 22:49,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203194,4/30/2018 22:43,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203176,4/30/2018 22:38,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203175,4/30/2018 22:38,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203160,4/30/2018 22:33,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203155,4/30/2018 22:33,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203152,4/30/2018 22:32,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203143,4/30/2018 22:30,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203130,4/30/2018 22:25,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203126,4/30/2018 22:25,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203123,4/30/2018 22:21,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203108,4/30/2018 22:11,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203102,4/30/2018 22:09,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203083,4/30/2018 21:51,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203080,4/30/2018 21:48,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203077,4/30/2018 21:46,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203057,4/30/2018 21:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203052,4/30/2018 21:36,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203043,4/30/2018 21:33,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203041,4/30/2018 21:31,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203035,4/30/2018 21:29,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203034,4/30/2018 21:29,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203029,4/30/2018 21:27,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203018,4/30/2018 21:24,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203017,4/30/2018 21:23,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203012,4/30/2018 21:20,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203004,4/30/2018 21:15,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4203003,4/30/2018 21:15,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202998,4/30/2018 21:12,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202996,4/30/2018 21:11,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202951,4/30/2018 20:54,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202945,4/30/2018 20:53,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202938,4/30/2018 20:49,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202939,4/30/2018 20:49,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202935,4/30/2018 20:48,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202933,4/30/2018 20:47,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202923,4/30/2018 20:44,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202909,4/30/2018 20:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202906,4/30/2018 20:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202892,4/30/2018 20:31,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202880,4/30/2018 20:26,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202861,4/30/2018 20:18,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202839,4/30/2018 20:10,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202835,4/30/2018 20:09,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202829,4/30/2018 20:08,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202824,4/30/2018 20:07,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202827,4/30/2018 20:07,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202820,4/30/2018 20:05,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202813,4/30/2018 20:01,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202804,4/30/2018 19:56,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202799,4/30/2018 19:54,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202791,4/30/2018 19:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202781,4/30/2018 19:47,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202758,4/30/2018 19:40,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202753,4/30/2018 19:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202738,4/30/2018 19:34,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202739,4/30/2018 19:34,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202729,4/30/2018 19:30,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202714,4/30/2018 19:22,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202713,4/30/2018 19:22,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202706,4/30/2018 19:19,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202685,4/30/2018 19:13,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202679,4/30/2018 19:11,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202637,4/30/2018 19:02,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202634,4/30/2018 19:01,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202612,4/30/2018 18:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202607,4/30/2018 18:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202605,4/30/2018 18:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202608,4/30/2018 18:51,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202600,4/30/2018 18:51,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202595,4/30/2018 18:49,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202591,4/30/2018 18:49,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202585,4/30/2018 18:47,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202562,4/30/2018 18:43,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202555,4/30/2018 18:42,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202549,4/30/2018 18:38,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202535,4/30/2018 18:35,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202534,4/30/2018 18:35,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202531,4/30/2018 18:34,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202527,4/30/2018 18:33,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202522,4/30/2018 18:32,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202518,4/30/2018 18:29,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202503,4/30/2018 18:27,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202499,4/30/2018 18:27,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202497,4/30/2018 18:26,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202495,4/30/2018 18:25,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202486,4/30/2018 18:22,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202488,4/30/2018 18:22,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202479,4/30/2018 18:19,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202478,4/30/2018 18:18,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202432,4/30/2018 18:07,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202426,4/30/2018 18:05,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202403,4/30/2018 17:56,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202389,4/30/2018 17:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202374,4/30/2018 17:46,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202369,4/30/2018 17:44,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202357,4/30/2018 17:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202346,4/30/2018 17:34,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202342,4/30/2018 17:32,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202329,4/30/2018 17:27,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202315,4/30/2018 17:20,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202304,4/30/2018 17:15,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202276,4/30/2018 17:04,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202262,4/30/2018 16:59,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
