Day of IncDate,Other Stuff,Reported Fire
"January 1, 2019",307,43
"January 2, 2019",235,43
"January 3, 2019",245,23
"January 4, 2019",281,34
"January 5, 2019",273,23
"January 6, 2019",260,28
"January 7, 2019",255,31
"January 8, 2019",267,30
"January 9, 2019",271,36
"January 10, 2019",268,38
"January 11, 2019",268,33
"January 12, 2019",247,26
"January 13, 2019",251,20
"January 14, 2019",246,27
"January 15, 2019",251,32
"January 16, 2019",274,30
"January 17, 2019",258,32
"January 18, 2019",248,34
"January 19, 2019",242,31
"January 20, 2019",228,27
"January 21, 2019",242,28
"January 22, 2019",259,30
"January 23, 2019",268,32
"January 24, 2019",267,25
"January 25, 2019",290,37
"January 26, 2019",238,29
"January 27, 2019",224,27
"January 28, 2019",207,26
"January 29, 2019",236,28
"January 30, 2019",260,31
"January 31, 2019",267,37
"February 1, 2019",235,29
"February 2, 2019",238,20
"February 3, 2019",272,22
"February 4, 2019",272,38
"February 5, 2019",277,27
"February 6, 2019",248,51
"February 7, 2019",262,48
"February 8, 2019",274,36
"February 9, 2019",278,32
"February 10, 2019",241,29
"February 11, 2019",287,25
"February 12, 2019",257,35
"February 13, 2019",261,31
"February 14, 2019",265,34
"February 15, 2019",278,30
"February 16, 2019",263,31
"February 17, 2019",232,37
"February 18, 2019",278,33
"February 19, 2019",299,22
"February 20, 2019",323,38
"February 21, 2019",271,29
"February 22, 2019",258,28
"February 23, 2019",247,36
"February 24, 2019",270,12
"February 25, 2019",241,28
"February 26, 2019",254,41
"February 27, 2019",289,30
"February 28, 2019",274,26
"March 1, 2019",295,39
"March 2, 2019",257,36
"March 3, 2019",252,38
"March 4, 2019",314,76
"March 5, 2019",269,35
"March 6, 2019",289,35
"March 7, 2019",273,26
"March 8, 2019",284,36
"March 9, 2019",244,36
"March 10, 2019",248,43
"March 11, 2019",304,34
"March 12, 2019",272,29
"March 13, 2019",286,39
"March 14, 2019",270,30
"March 15, 2019",292,36
"March 16, 2019",288,34
"March 17, 2019",260,27
"March 18, 2019",277,31
"March 19, 2019",248,31
"March 20, 2019",297,39
"March 21, 2019",250,44
"March 22, 2019",288,44
"March 23, 2019",248,41
"March 24, 2019",288,31
"March 25, 2019",247,27
"March 26, 2019",258,37
"March 27, 2019",269,32
"March 28, 2019",277,19
"March 29, 2019",275,31
"March 30, 2019",278,32
"March 31, 2019",271,23
"April 1, 2019",269,29
"April 2, 2019",257,33
"April 3, 2019",244,29
"April 4, 2019",251,30
"April 5, 2019",252,29
"April 6, 2019",256,17
"April 7, 2019",253,31
"April 8, 2019",255,36
"April 9, 2019",256,27
"April 10, 2019",274,25
"April 11, 2019",238,20
"April 12, 2019",259,23
"April 13, 2019",213,21
"April 14, 2019",231,26
"April 15, 2019",257,30
"April 16, 2019",243,30
"April 17, 2019",255,34
"April 18, 2019",305,31
"April 19, 2019",252,25
"April 20, 2019",273,28
"April 21, 2019",225,31
"April 22, 2019",258,30
"April 23, 2019",273,28
"April 24, 2019",281,24
"April 25, 2019",261,37
"April 26, 2019",260,32
"April 27, 2019",270,23
"April 28, 2019",272,22
"April 29, 2019",232,35
"April 30, 2019",250,46
"May 1, 2019",256,42
"May 2, 2019",236,46
"May 3, 2019",262,32
"May 4, 2019",268,29
"May 5, 2019",264,38
"May 6, 2019",288,54
"May 7, 2019",278,50
"May 8, 2019",304,31
"May 9, 2019",313,47
"May 10, 2019",288,41
"May 11, 2019",300,36
"May 12, 2019",256,29
"May 13, 2019",269,38
"May 14, 2019",257,35
"May 15, 2019",260,32
"May 16, 2019",270,35
